id_producto;nombre_producto;precio_venta;costo
1;Intercomunicador Ejeas V6 Pro+;75810.00;53067.00
2;BOYA Mini 2 Micrófono Inalámbrico para Celular iPhone y Android;133479.75;93435.82
3;Micrófono Inalámbrico BOYA V20 USB-C;93596.85;65517.80
4;Intercomunicador Ejeas X10 Plus 100 Pilotos;379618.10;265732.67
5;Micrófono Inalámbrico BOYA V30 USB-C;138605.00;97023.50
6;Intercomunicador Ejeas Q8 Combo 2 unidades;269800.00;188860.00
7;Scanner Automotriz Autel MX808S;948100.00;663670.00
8;Micrófono Inalámbrico BOYA V10 USB-C;75829.95;53080.96
9;Scanner Automotriz Autel MS906 Max;2897500.00;2028250.00
10;Micrófono Inalámbrico BOYA V2 Lightning;76000.00;53200.00
11;Scanner Automotriz Autel MX900;1394600.00;976220.00
12;Intercomunicador Ejeas V6 pro+ Combo 2 unidades;148580.00;104006.00
13;Gimbal Estabilizador Celular S5B 3600mAh;121316.90;84921.83
14;Intercomunicador Ejeas V6 Pro+;75810.00;53067.00
15;Micrófono Inalámbrico BOYA V1 Lightning;76204.25;53342.98
16;Scanner Automotriz Autel MX900;1394600.00;976220.00
17;Intercomunicador Ejeas Q8 Combo 2 unidades;269800.00;188860.00
18;Micrófono Inalámbrico BOYA V20 USB-C;93596.85;65517.80
19;Micrófono Inalámbrico BOYA V10 USB-C;75829.95;53080.96
20;Micrófono Inalámbrico BOYA V2 Lightning;76000.00;53200.00
21;BOYA Mini 2 Micrófono Inalámbrico para Celular iPhone y Android;133479.75;93435.82
22;Rotuladora Niimbot B1 Pro Bluetooth 300 dpi;76944.30;53861.01
23;Scanner Automotriz Autel DS900;1663480.00;1164436.00
24;BOYA Notra Cosmic Orange Grabadora de Voz IA con Transcripción;351262.50;245883.75
25;Rotuladora Niimbot B21 Pro Bluetooth 300 dpi;114000.00;79800.00
26;Micrófono Inalámbrico BOYA V30 USB-C;138605.00;97023.50
27;Impresora de Etiquetas Niimbot M3 300 dpi;332500.00;232750.00
28;Intercomunicador Ejeas X10 Plus 100 Pilotos;379618.10;265732.67
29;Intercomunicador Ejeas Arbitro FBIM Usb C;286841.10;200788.77
30;Intercomunicador Ejeas Referi Arbitro F6;449234.10;314463.87
31;Micrófono USB BOYA K5 Condensador;174890.25;122423.18
